url,title,classified_method,secondary_method,method_certainty,article_relevance_score,models_agreeing_high,disagreement_type,m1_decision_p1,m2old_decision_p1,m2new_decision_p1,m3_decision_p1,m4_decision_p1
https://www.theguardian.com/us-news/2016/dec/07/mammoth-us-health-bill-aims-to-approve-drugs-faster-but-concerns-linger,US Senate passes $6.2bn health bill to expedite approval for drugs,method_gut,method_rct,LOW,0.2905000000000001,2,method_disagree,0.8,0.05,0.8,0.2,0.05
https://www.theguardian.com/commentisfree/2016/nov/15/sore-throats-pharmacies-nhs,Testing sore throats at pharmacies won’t solve anything,method_rct,method_gut,LOW,0.20050000000000004,1,outlier_high,0.8,0.05,0.2,0.2,0.2
https://www.theguardian.com/science/sifting-the-evidence/2015/apr/13/lets-help-mps-understand-the-value-of-randomised-controlled-trials,Let's help MPs understand the value of randomised controlled trials,method_rct,,LOW,0.16900000000000004,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/science/sifting-the-evidence/2016/sep/21/failing-update-their-warnings-drug-regulators-letting-patients-down-fda-varenicline,"By failing to update their warnings, drug regulators are letting patients down",method_expert_secondary,method_gut,LOW,0.17050000000000004,1,outlier_high,0.8,0.05,0.2,0.2,0.05
https://www.theguardian.com/global-development/2016/jul/11/global-goals-sustainable-development-act-fast-or-risk-leaving-the-poorest-behind,"We must act fast on the global goals, or risk leaving the poorest behind",method_expert_secondary,,LOW,0.16300000000000003,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/society/2016/jun/06/trial-study-treatment-weight-loss-fitness-cancer-recurrence,"Trial to investigate link between weight, fitness and cancer recurrence",method_rct,,LOW,0.22600000000000003,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/healthcare-network/2015/oct/13/acupuncture-used-more-widely-nhs,Should acupuncture be used more widely in the NHS?,method_case_study,,LOW,0.13900000000000004,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/commentisfree/2014/nov/24/class-baby-breastfed-life-chances-inequality,"It’s class, not whether a baby is breastfed, that determines life chances",method_expert_secondary,,LOW,0.19450000000000003,1,outlier_high,0.8,0.2,0.05,0.2,0.05
https://www.theguardian.com/society/2015/jan/13/add-fluoride-water-halt-rise-childhood-tooth-decay,Call for water fluoridation across England to cut childhood tooth decay,method_expert_qual,method_expert_secondary,LOW,0.17800000000000005,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/voluntary-sector-network/2013/jan/28/randomised-controlled-trial-charity,When is a randomised controlled trial appropriate for your charity?,method_prepost,method_case_study,LOW,0.16900000000000004,1,outlier_high,0.2,0.05,0.05,0.8,0.05
https://www.theguardian.com/social-care-network/2014/mar/25/nspcc-research-evaluation-social-care,NSPCC research shows rigorous evaluation pays off in social care,method_case_study,,LOW,0.15250000000000005,1,outlier_high,0.8,0.05,0.2,0.2,0.2
https://www.theguardian.com/public-leaders-network/small-business-blog/2014/feb/03/nudge-unit-quiet-revolution-evidence,Nudge unit: our quiet revolution is putting evidence at heart of government,method_rct,method_prepost,LOW,0.2890000000000001,2,method_disagree,0.8,0.05,0.05,0.8,0.2
https://www.theguardian.com/healthcare-network/2014/feb/11/cuts-threaten-mental-health-programme-careers,Threat to mental health programme that aims to get patients back to work,method_case_study,method_prepost,LOW,0.2740000000000001,2,method_disagree,0.8,0.2,0.2,0.8,0.05
https://www.theguardian.com/politics/2012/jun/20/test-policies-randomised-controlled-trials,"Test policies in 'randomised controlled trials', nudge unit urges",method_rct,method_prepost,LOW,0.2965000000000001,2,method_disagree,0.8,0.05,0.05,0.8,0.2
https://www.theguardian.com/local-government-network/2013/jan/08/councils-evidence-tackling-troubled-families,Where is the evidence to help councils tackling troubled families?,method_gut,,LOW,0.17200000000000004,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/healthcare-network/2012/apr/10/telecare-whole-system-demonstrators-wsd,Telecare: what's happened to the whole system demonstrators?,method_rct,method_case_study,LOW,0.13900000000000004,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/society/2012/apr/17/society-daily-email,Society daily 17.04.12,method_prepost,method_expert_qual,LOW,0.13750000000000004,1,outlier_high,0.05,0.05,0.05,0.8,0.05
https://www.theguardian.com/education/2007/may/02/highereducation.uk,"Maggots feast on MRSA, researchers find",method_case_study,,LOW,0.15400000000000005,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/society/2006/jun/17/health.medicineandhealth,Drugs firm blocks cheap blindness cure,method_gut,,LOW,0.13900000000000004,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/media/2002/mar/08/newmedia.society,A healthy challenge to the media,method_rct,,LOW,0.16900000000000004,1,outlier_high,0.8,0.05,0.05,0.2,0.05
