url,title,classified_method,secondary_method,method_certainty,article_relevance_score,models_agreeing_high,disagreement_type,m1_decision_p1,m2old_decision_p1,m2new_decision_p1,m3_decision_p1,m4_decision_p1,m5_decision_p1,m6_decision_p1
https://www.theguardian.com/australia-news/2020/jun/11/scott-morrison-apologises-for-hurt-or-harm-caused-by-robodebt-rollout,Scott Morrison apologises for 'hurt or harm' caused by robodebt rollout,method_gut,method_case_study,LOW,0.19679213482005445,2,method_disagree,0.8,0.2,0.2,0.5530282156740847,0.6844214564576431,0.08466355502605438,0.1
https://www.theguardian.com/australia-news/2025/nov/30/queensland-dv-domestic-violence-response-stops-reviewing-recent-deaths,‘We’ve got to listen to dead women’: critical part of Queensland’s DV response stops reviewing all recent deaths,method_case_study,method_rct,LOW,0.19809088953726284,2,method_disagree,0.8,0.2,0.2,0.6326368498906859,0.5412651754890698,0.06224294751882553,0.15000000000000002
https://www.theguardian.com/commentisfree/2025/jan/02/the-guardian-view-on-the-blair-era-archives-fateful-decisions-come-in-many-guises,The Guardian view on the Blair-era archives: fateful decisions come in many guises,method_gut,,LOW,0.13811605886844414,1,outlier_high,0.8,0.05,0.05,0.45703619586710564,0.35143745654249103,0.01380124781280756,0.1
https://www.theguardian.com/money/2022/mar/14/blue-sky-thinking-new-rules-allow-digital-nomads-to-work-in-the-sun,Blue-sky thinking: new rules allow digital nomads to work in the sun,method_case_study,,LOW,0.09735665307233617,1,outlier_high,0.05,0.05,0.8,0.5573761812059567,0.5191905439717458,0.21531301736831665,0.05
https://www.theguardian.com/business/2021/oct/28/tesco-and-gorillas-join-forces-to-test-10-minute-delivery-service,Tesco and Gorillas join forces to test 10-minute delivery service,method_case_study,method_rct,LOW,0.19953543452578795,2,method_disagree,0.05,0.05,0.8,0.46574611370478347,0.3759887548048779,0.6859657764434814,0.2
https://www.theguardian.com/australia-news/2023/jan/31/alan-tudge-former-adviser-rachelle-miller-robodebt-royal-commission,"Alan Tudge’s adviser placed stories in ‘friendly media’ to ‘shut down’ robodebt scandal, royal commission told",method_expert_qual,method_case_study,LOW,0.19791134731861212,2,method_disagree,0.8,0.05,0.2,0.6369909259446276,0.6140816493458878,0.19040165841579437,0.15000000000000002
https://www.theguardian.com/us-news/2022/mar/16/involuntary-celibates-incels-threat-us-secret-service,"‘Incels’ are a rising threat in the US, Secret Service report finds",method_case_study,method_expert_secondary,LOW,0.17610010303382195,3,method_disagree,0.8,0.05,0.05,0.3847792083485173,0.5367062804031537,0.1425676941871643,0.25
https://www.theguardian.com/society/2021/may/19/mental-health-tests-in-the-presence-of-counter-terror-units-unethical-says-charity,"Mental health tests in the presence of counter-terror units ‘unethical’, says charity",method_rct,method_case_study,LOW,0.2582954385234406,4,method_disagree,0.8,0.2,0.2,0.7399193972579952,0.7062768027239221,0.45577114820480347,0.30000000000000004
https://www.theguardian.com/world/2020/aug/27/fuller-care-homes-with-fewer-staff-had-more-covid-cases-study-finds,"Fuller care homes with fewer staff had more Covid cases, study finds",method_rct,method_case_study,LOW,0.2922209346271062,4,method_disagree,0.8,0.2,0.2,0.6825524376511953,0.535247929738179,0.31025949120521545,0.6
https://www.theguardian.com/commentisfree/2021/jul/20/national-insurance-social-care-crisis-taxes,Tory plans to raise national insurance won’t tackle Britain’s social care crisis,method_expert_qual,method_case_study,LOW,0.11955030875071065,1,outlier_high,0.2,0.2,0.2,0.8688288608087578,0.35143745654249103,0.09891902655363083,0.05
https://www.theguardian.com/australia-news/2022/nov/30/scott-morrison-falsely-claimed-he-lacked-powers-to-help-biloela-family,Scott Morrison falsely claimed he lacked powers to help Biloela family,method_gut,,LOW,0.14155756357558064,1,outlier_high,0.8,0.05,0.2,0.44212247510112224,0.28109764943073584,0.027781859040260315,0.05
https://www.theguardian.com/commentisfree/2022/jan/28/lift-plan-b-restrictions-england-vaccines-restrictions,Why it’s the right time to lift plan B restrictions in England,method_gut,method_prepost,LOW,0.326410622955967,4,method_disagree,0.8,0.05,0.8,0.6069892364637244,0.2918503470910129,0.45930105447769165,0.35
