url,title,classified_method,secondary_method,method_certainty,article_relevance_score,models_agreeing_high,disagreement_type,m1_decision_p1,m2old_decision_p1,m2new_decision_p1,m3_decision_p1,m4_decision_p1,m5_decision_p1,m6_decision_p1
https://www.theguardian.com/australia-news/2018/jun/25/centrelink-automation-hurting-australias-most-vulnerable-anglicare,Centrelink automation hurting Australia's most vulnerable – Anglicare,method_expert_secondary,method_gut,LOW,0.1731556993834739,1,outlier_high,0.8,0.2,0.2,0.5862960732673059,0.28109764943073584,0.21062006056308746,0.25
https://www.theguardian.com/australia-news/2018/mar/13/banking-royal-commission-credit-card-horror-stories-reveal-lifelines-that-help-you-sink,Banking royal commission: credit card horror stories reveal lifelines that help you sink,method_expert_qual,method_rct,LOW,0.13380120572520665,2,method_disagree,0.8,0.05,0.2,0.33779675295734757,0.28109764943073584,0.03085877001285553,0.25
https://www.theguardian.com/australia-news/2018/may/26/buyers-and-sellers-beware-as-royal-commission-exposes-bankings-risky-business,Buyers – and sellers – beware as royal commission exposes banking's risky business,method_expert_qual,method_expert_secondary,LOW,0.19551554414897843,2,method_disagree,0.8,0.05,0.2,0.5853587536785012,0.10705694933971391,0.05700203403830528,0.44999999999999996
https://www.theguardian.com/australia-news/2016/nov/17/indigenous-disadvantage-mental-health-domestic-violence-incarceration,Indigenous disadvantage getting worse in mental health and incarceration,method_prepost,method_expert_secondary,LOW,0.2691284069821402,3,method_disagree,0.8,0.2,0.2,0.46690034128168434,0.4205638079775466,0.4206307828426361,0.6499999999999999
https://www.theguardian.com/australia-news/2016/nov/18/indigenous-affairs-is-a-policy-free-environment-says-marcia-langton,"Indigenous affairs is 'a policy-free environment', says Marcia Langton",method_expert_qual,method_case_study,LOW,0.23049360709955832,3,method_disagree,0.8,0.2,0.2,0.5227559945812545,0.523984315113976,0.1779143214225769,0.44999999999999996
https://www.theguardian.com/uk-news/davehillblog/2016/feb/04/transport-for-london-names-partner-companies-for-land-development-drive,Transport for London names partner companies for land development drive,method_rct,,LOW,0.10006356508602972,1,outlier_high,0.05,0.05,0.8,0.5998699449225222,0.26109399606622513,0.35454773902893066,0.05
https://www.theguardian.com/politics/2015/dec/11/tony-blair-gaddafi-deal-prevented-isis-getting-chemical-weapons-libya,Tony Blair: 'Gaddafi deal prevented Isis getting chemical weapons',method_expert_qual,,LOW,0.11631990908228106,1,outlier_high,0.8,0.05,0.2,0.21090453462715547,0.28109764943073584,0.01847737468779087,0.15000000000000002
https://www.theguardian.com/sustainable-business/sustainability-case-studies-colalife-medicine-zambian-children,ColaLife makes affordable anti-diarrhoea kit,method_rct,,LOW,0.16427843746990328,1,outlier_high,0.2,0.05,0.2,0.668670927077547,0.29245366307451187,0.43191295862197876,0.35
https://www.theguardian.com/sustainable-business/sustainability-case-studies-pwc-employees-confidence,PwC gives employees the confidence to discuss sustainability with clients,method_rct,,LOW,0.11635584014563741,1,outlier_high,0.05,0.05,0.2,0.6155114881564151,0.28109764943073584,0.3180500566959381,0.15000000000000002
https://www.theguardian.com/public-leaders-network/2014/may/01/no-evidence-outsourcing-public-services-works,There's no evidence that outsourcing public services ever works,method_gut,method_case_study,LOW,0.20572381225427638,3,method_disagree,0.8,0.05,0.05,0.6540683031452655,0.5984462262461328,0.3202027380466461,0.15000000000000002
https://www.theguardian.com/sustainable-business/sustainability-case-studies-nestle-butterfly-meadows,Nestlé plants 65 acres of UK butterfly meadows,method_rct,,LOW,0.08270709747233158,1,outlier_high,0.05,0.05,0.2,0.3968954434980667,0.39108106230002604,0.3255935609340668,0.15000000000000002
