url,title,round_id,tier,classified_method,article_relevance_score,models_agreeing_high,disagreement_type,method_certainty,m1_decision_score,m1_decision_p1,m1_method_rct_score,m1_method_rct_p1,m1_method_prepost_score,m1_method_prepost_p1,m1_method_case_study_score,m1_method_case_study_p1,m1_method_expert_qual_score,m1_method_expert_qual_p1,m1_method_expert_secondary_score,m1_method_expert_secondary_p1,m1_method_gut_score,m1_method_gut_p1,m2old_decision_score,m2old_decision_p1,m2old_method_rct_score,m2old_method_rct_p1,m2old_method_prepost_score,m2old_method_prepost_p1,m2old_method_case_study_score,m2old_method_case_study_p1,m2old_method_expert_qual_score,m2old_method_expert_qual_p1,m2old_method_expert_secondary_score,m2old_method_expert_secondary_p1,m2old_method_gut_score,m2old_method_gut_p1,m2new_decision_score,m2new_decision_p1,m2new_method_rct_score,m2new_method_rct_p1,m2new_method_prepost_score,m2new_method_prepost_p1,m2new_method_case_study_score,m2new_method_case_study_p1,m2new_method_expert_qual_score,m2new_method_expert_qual_p1,m2new_method_expert_secondary_score,m2new_method_expert_secondary_p1,m2new_method_gut_score,m2new_method_gut_p1,m3_decision_score,m3_decision_p1,m3_method_rct_score,m3_method_rct_p1,m3_method_prepost_score,m3_method_prepost_p1,m3_method_case_study_score,m3_method_case_study_p1,m3_method_expert_qual_score,m3_method_expert_qual_p1,m3_method_expert_secondary_score,m3_method_expert_secondary_p1,m3_method_gut_score,m3_method_gut_p1,m4_decision_score,m4_decision_p1,m4_method_rct_score,m4_method_rct_p1,m4_method_prepost_score,m4_method_prepost_p1,m4_method_case_study_score,m4_method_case_study_p1,m4_method_expert_qual_score,m4_method_expert_qual_p1,m4_method_expert_secondary_score,m4_method_expert_secondary_p1,m4_method_gut_score,m4_method_gut_p1
https://www.theguardian.com/science/2023/feb/15/most-health-claims-on-formula-milk-not-backed-by-evidence,Most health claims on formula milk ‘not backed by evidence’,14,B,method_expert_secondary,0.20800000000000005,1,outlier_high,LOW,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,1.0,0.8,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,1.0,0.8,0.5,0.2,0.0,0.05,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,1.0,0.8,1.0,0.8
https://www.theguardian.com/world/2023/feb/20/abortion-pills-us-ruling-rebecca-gomperts-interview,‘It’s a war’: the doctor who wants Americans to get abortion pills before it’s too late,14,none,method_rct,0.02650000000000001,0,,LOW,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/world/2022/jul/13/no-fear-the-new-zealand-virtual-reality-app-helping-conquer-phobias,No fear: the New Zealand virtual reality app helping conquer phobias,14,B,method_case_study,0.17050000000000004,1,outlier_high,LOW,1.0,0.8,0.0,0.05,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/society/2023/apr/07/cancer-and-heart-disease-vaccines-ready-by-end-of-the-decade,Cancer and heart disease vaccines ‘ready by end of the decade’,14,none,method_prepost,0.03550000000000001,0,,LOW,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,1.0,0.8,1.0,0.8,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/environment/2023/jun/23/processed-foods-american-addiction,Flamin’ hot addictions: why is America so hooked on ultra-processed foods?,14,none,method_expert_secondary,0.013000000000000003,0,,LOW,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/australia-news/2021/jun/21/australias-vaccine-rollout-constrained-by-pfizer-supply-shortages-until-august,Australia’s vaccine rollout ‘constrained’ by Pfizer supply shortages until August,14,none,method_expert_qual,0.05800000000000002,0,,LOW,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.5,0.2,0.5,0.2,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,1.0,0.8,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/science/2022/jun/02/womans-ear-rebuilt-with-3d-printed-living-tissue-implant,Woman’s ear rebuilt with 3D-printed living tissue implant,14,B,method_rct,0.17050000000000004,1,outlier_high,LOW,0.5,0.2,0.0,0.05,0.0,0.05,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,1.0,0.8,1.0,0.8,1.0,0.8,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.0,0.05,0.5,0.2,0.5,0.2,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/society/2021/mar/28/what-does-modernas-covid-jab-mean-for-the-uk-vaccine-rollout,What does Moderna's Covid jab mean for the UK vaccine rollout?,14,B,method_rct,0.19450000000000003,1,outlier_high,LOW,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,1.0,0.8,1.0,0.8,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,1.0,0.8,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/world/2020/oct/10/coronavirus-uk-launches-clinical-trial-of-bcg-vaccine,Coronavirus: UK launches clinical trial of BCG vaccine,14,none,method_rct,0.08200000000000002,0,,MEDIUM,0.5,0.2,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,1.0,0.8,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,1.0,0.8,1.0,0.8,0.5,0.2,0.5,0.2,1.0,0.8,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/society/2021/mar/31/why-australia-remains-confident-in-astrazeneca-vaccine-as-two-countries-put-rollout-on-ice,Should Australians be worried about two countries putting AstraZeneca vaccine rollout on ice? ,14,none,method_expert_secondary,0.019000000000000006,0,,LOW,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.5,0.2
https://www.theguardian.com/world/2021/oct/15/volunteers-on-covid-jab-trials-should-get-travel-certificates-say-top-scientists,"Volunteers on Covid jab trials should get travel certificates, say top scientists",14,none,method_expert_qual,0.04900000000000001,0,,LOW,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.5,0.2,1.0,0.8,1.0,0.8,0.5,0.2,1.0,0.8,1.0,0.8,0.5,0.2,0.0,0.05,0.0,0.05,0.5,0.2,0.0,0.05,0.5,0.2,0.5,0.2,1.0,0.8
